date,total_value,cash,n_positions,gross_value
2023-03-03,1152296.1753308377,-2345.80160784806,10,1154641.9769386859
2023-03-06,1171306.4566825428,-2345.80160784806,10,1173652.258290391
2023-03-08,1180152.9663576381,-2345.80160784806,10,1182498.7679654863
2023-03-09,1164888.466575337,-2345.80160784806,10,1167234.2681831853
2023-03-10,1149963.369355854,-2345.80160784806,10,1152309.1709637023
2023-03-13,1134715.0672875617,-2345.80160784806,10,1137060.8688954099
2023-03-14,1114424.0003473763,-2345.80160784806,10,1116769.8019552245
2023-03-15,1118209.6726425071,-2345.80160784806,10,1120555.4742503553
2023-03-16,1120801.7493635088,-2345.80160784806,10,1123147.550971357
2023-03-17,1127905.9906115157,-2345.80160784806,10,1130251.7922193639
2023-03-20,1114883.2178264842,-2345.80160784806,10,1117229.0194343324
2023-03-21,1126286.1962544476,-2345.80160784806,10,1128631.9978622957
2023-03-22,1123347.9369680276,-2345.80160784806,10,1125693.7385758758
2023-03-23,1113830.100412032,-2201.486080909347,10,1116031.5864929415
2023-03-24,1099442.4436079238,-2201.486080909347,10,1101643.9296888332
2023-03-27,1100633.50281698,-2201.486080909347,10,1102834.9888978894
2023-03-28,1099497.3736253432,-2201.486080909347,10,1101698.8597062526
2023-03-29,1111788.938220384,-2201.486080909347,10,1113990.4243012934
2023-03-31,1128041.3253969934,-2201.486080909347,10,1130242.8114779028
2023-04-03,1136466.9595181104,-2201.486080909347,10,1138668.4455990198
2023-04-05,1142054.8263783504,-2201.486080909347,10,1144256.3124592598
2023-04-06,1146326.8594012286,-2201.486080909347,10,1148528.345482138
2023-04-10,1140951.3311382143,-2201.486080909347,10,1143152.8172191237
2023-04-11,1145471.3034663524,-2201.486080909347,10,1147672.7895472618
2023-04-12,1146694.4654635158,-2201.486080909347,10,1148895.9515444252
2023-04-13,1146391.962189169,-2201.486080909347,10,1148593.4482700783
2023-04-17,1154639.4628946378,-2201.486080909347,10,1156840.9489755472
2023-04-18,1159516.0107912598,-2201.486080909347,10,1161717.4968721692
2023-04-19,1156203.5300839436,-2201.486080909347,10,1158405.016164853
2023-04-20,1150983.51007113,-2201.486080909347,10,1153184.9961520394
2023-04-21,1152124.7514178022,-2201.486080909347,10,1154326.2374987116
2023-04-24,1159803.5719992989,-2201.486080909347,10,1162005.0580802083
2023-04-25,1168319.0797933347,-2201.486080909347,10,1170520.565874244
2023-04-26,1167709.5958393582,-3050.757384651258,10,1170760.3532240095
2023-04-27,1177949.360590045,-3050.757384651258,10,1181000.1179746964
2023-04-28,1199863.1842565958,-3050.757384651258,10,1202913.9416412471
2023-05-02,1214477.2646124617,-3050.757384651258,10,1217528.021997113
2023-05-03,1203630.5923275494,-3050.757384651258,10,1206681.3497122007
2023-05-04,1213139.2959113545,-3050.757384651258,10,1216190.0532960058
2023-05-05,1210417.1221610194,-3050.757384651258,10,1213467.8795456707
2023-05-08,1218104.8797453793,-3050.757384651258,10,1221155.6371300307
2023-05-09,1223195.775278931,-3050.757384651258,10,1226246.5326635824
2023-05-10,1221230.1105671693,-3050.757384651258,10,1224280.8679518206
2023-05-11,1231401.9359538616,-3050.757384651258,10,1234452.693338513
2023-05-12,1223357.4611826818,-3050.757384651258,10,1226408.2185673332
2023-05-15,1224949.41598392,-3050.757384651258,10,1228000.1733685713
2023-05-16,1222104.3074086881,-3050.757384651258,10,1225155.0647933395
2023-05-17,1213956.183390761,-3050.757384651258,10,1217006.9407754124
2023-05-18,1208739.0384468078,-3050.757384651258,10,1211789.795831459
2023-05-19,1224946.999833774,-3050.757384651258,10,1227997.7572184254
2023-05-22,1269018.188539228,-3050.757384651258,10,1272068.9459238793
2023-05-23,1285552.4447898006,-3050.757384651258,10,1288603.202174452
2023-05-24,1271556.6688489574,-3050.757384651258,10,1274607.4262336087
2023-05-25,1279012.55226447,-2984.996375744332,10,1281997.5486402141
2023-05-26,1295220.7461861854,-2984.996375744332,10,1298205.7425619296
2023-05-29,1304161.8536421836,-2984.996375744332,10,1307146.8500179278
2023-05-30,1298821.851377283,-2984.996375744332,10,1301806.8477530272
2023-05-31,1294935.5946270358,-2984.996375744332,10,1297920.59100278
2023-06-01,1302031.1376157154,-2984.996375744332,10,1305016.1339914596
2023-06-02,1311647.4951856968,-2984.996375744332,10,1314632.491561441
2023-06-05,1313851.482718763,-2984.996375744332,10,1316836.4790945072
2023-06-06,1312921.550573643,-2984.996375744332,10,1315906.5469493873
2023-06-07,1329627.9445942228,-2984.996375744332,10,1332612.940969967
2023-06-08,1323798.9178643352,-2984.996375744332,10,1326783.9142400795
2023-06-09,1313290.5328217708,-2984.996375744332,10,1316275.529197515
2023-06-12,1317734.7757252061,-2984.996375744332,10,1320719.7721009504
2023-06-13,1328301.2410331652,-2984.996375744332,10,1331286.2374089095
2023-06-14,1342415.2089883636,-2984.996375744332,10,1345400.2053641079
2023-06-15,1338090.164921475,-2984.996375744332,10,1341075.1612972193
2023-06-16,1339776.4576879323,-2984.996375744332,10,1342761.4540636765
2023-06-19,1334212.2183266291,-2984.996375744332,10,1337197.2147023734
2023-06-20,1338345.1769357435,-2984.996375744332,10,1341330.1733114878
2023-06-21,1336262.322523796,-2984.996375744332,10,1339247.3188995402
2023-06-22,1323053.445427476,-1333.4556205266144,10,1324386.9010480025
2023-06-23,1317972.851870634,-1333.4556205266144,10,1319306.3074911605
2023-06-26,1323365.6146678799,-1333.4556205266144,10,1324699.0702884065
2023-06-27,1330264.80414164,-1333.4556205266144,10,1331598.2597621665
2023-06-28,1339076.274803737,-1333.4556205266144,10,1340409.7304242635
2023-06-30,1351756.248271112,-1333.4556205266144,10,1353089.7038916387
2023-07-03,1354816.1204503423,-1333.4556205266144,10,1356149.5760708689
2023-07-04,1359785.7884336088,-1333.4556205266144,10,1361119.2440541354
2023-07-05,1367663.7682926552,-1333.4556205266144,10,1368997.2239131818
2023-07-06,1374503.443957262,-1333.4556205266144,10,1375836.8995777885
2023-07-07,1357388.2686340262,-1333.4556205266144,10,1358721.7242545527
2023-07-10,1362443.814949634,-1333.4556205266144,10,1363777.2705701606
2023-07-11,1368990.3154644808,-1333.4556205266144,10,1370323.7710850073
2023-07-12,1366351.8734713884,-1333.4556205266144,10,1367685.329091915
2023-07-13,1371240.3287706818,-1333.4556205266144,10,1372573.7843912083
2023-07-14,1391243.4595358227,-1333.4556205266144,10,1392576.9151563493
2023-07-17,1398448.327677475,-1333.4556205266144,10,1399781.7832980016
2023-07-18,1407396.5208611875,-1333.4556205266144,10,1408729.976481714
2023-07-19,1409892.022997723,-1333.4556205266144,10,1411225.4786182495
2023-07-20,1419031.1465035242,-1333.4556205266144,10,1420364.6021240507
2023-07-21,1395501.6475498416,-3177.7756202483206,10,1398679.42317009
2023-07-24,1390138.9238166984,-3177.7756202483206,10,1393316.6994369468
2023-07-25,1389143.024952004,-3177.7756202483206,10,1392320.8005722524
2023-07-26,1388037.4148413741,-3177.7756202483206,10,1391215.1904616226
2023-07-27,1376689.5384873233,-3177.7756202483206,10,1379867.3141075717
2023-07-28,1375944.3987731226,-3177.7756202483206,10,1379122.174393371
2023-07-31,1392874.611363638,-3177.7756202483206,10,1396052.3869838864
2023-08-01,1387728.0097063936,-3177.7756202483206,10,1390905.785326642
2023-08-02,1370883.371745692,-3177.7756202483206,10,1374061.1473659405
2023-08-03,1363956.7475494775,-3177.7756202483206,10,1367134.523169726
2023-08-04,1374121.3439994717,-3177.7756202483206,10,1377299.1196197201
2023-08-07,1386061.4627161985,-3177.7756202483206,10,1389239.238336447
2023-08-08,1386294.7218201486,-3177.7756202483206,10,1389472.497440397
