date,ticker,side,shares,effective_price,notional_inr,cost_inr,meta_fold_id,meta_slip_bps
2024-08-14,KOTAKBANK,sell,522.0227679703695,349.0028099822998,182187.41289639706,281.0206666698392,0,5.0
2024-08-14,COALINDIA,sell,417.39389344221826,443.5179372253418,185121.67862994678,285.54671651883467,0,5.0
2024-08-14,ITC,sell,443.0743761788012,448.51205146789556,198724.19741281218,306.52834656658996,0,5.0
2024-08-14,SHRIRAMFIN,sell,343.5093454318126,566.0616762084961,194447.47586841517,299.9315838130008,0,5.0
2024-08-14,APOLLOHOSP,buy,28.389365635877933,6482.993294677734,184048.06705755115,127.24426633121308,0,5.0
2024-08-14,TATACONSUM,buy,158.72506241384733,1159.540051574707,184048.06705755112,127.24426633121308,0,5.0
2024-08-14,BAJFINANCE,buy,18.53599130274486,642.210104736328,11904.000915927443,8.230001472819762,0,5.0
2024-08-14,ICICIBANK,buy,159.57948503716113,1153.3316266479492,184048.06705755112,127.24426633121308,0,5.0
2024-08-14,TITAN,buy,54.233266586798784,3393.6378654785153,184048.06705755112,127.24426633121308,0,5.0
2024-08-14,BPCL,buy,614.8616582926668,299.332483291626,184048.06705755112,127.24426633121308,0,5.0
2024-08-14,BEL,buy,633.9576136335565,290.3160449523926,184048.06705755115,127.24426633121308,0,5.0
2024-08-14,AXISBANK,buy,159.6681165509458,1152.6914141235352,184048.06705755115,127.24426633121308,0,5.0
2024-09-12,ASIANPAINT,sell,2.67642986876909,3339.6991881103518,8938.470659762426,13.787423312518587,0,5.0
2024-09-12,BAJFINANCE,sell,286.58544252136244,737.9053378601075,211472.92778951436,326.1930240143794,0,5.0
2024-09-12,HDFCBANK,sell,231.9226431973343,821.7754301757813,190588.32988099364,293.97892352258793,0,5.0
2024-09-12,APOLLOHOSP,sell,28.389365635877933,7029.9564079589845,199576.00286983067,307.842240504699,0,5.0
2024-09-12,TATACONSUM,sell,158.72506241384733,1213.1475173339845,192556.9154060406,297.01542976552963,0,5.0
2024-09-12,ICICIBANK,sell,159.57948503716113,1241.9410967407227,198188.32066437165,305.7017667348358,0,5.0
2024-09-12,TITAN,sell,54.233266586798784,3751.079088623047,203433.27220145994,313.7920060887572,0,5.0
2024-09-12,BPCL,sell,614.8616582926668,316.74255047607426,194752.84983756774,300.4026174317924,0,5.0
2024-09-12,AXISBANK,sell,159.6681165509458,1201.7212265014648,191876.5648547814,295.96600180316665,0,5.0
2024-09-12,ADANIENT,buy,65.81034756227412,2991.012825439453,196839.59360538993,136.0878713571057,0,5.0
2024-09-12,NESTLEIND,buy,158.16379521152368,1244.5300350952148,196839.59360538993,136.0878713571057,0,5.0
2024-09-12,KOTAKBANK,buy,538.9150366730036,365.2516263427734,196839.59360538993,136.0878713571057,0,5.0
2024-09-12,BEL,buy,48.709393059448246,288.3391048278808,14044.822791470699,9.710089328423987,0,5.0
2024-09-12,COALINDIA,buy,446.9935237872493,440.36341273498533,196839.59360538993,136.0878713571057,0,5.0
2024-09-12,TATASTEEL,buy,1326.8046446408255,148.35612341308592,196839.5936053899,136.0878713571057,0,5.0
