date,total_value
2023-06-30,1211785.7360022862
2023-07-03,1220216.2413774857
2023-07-04,1224412.4997733636
2023-07-05,1225012.4233768422
2023-07-06,1231251.6781888425
2023-07-07,1220800.3775177149
2023-07-10,1222322.2643070493
2023-07-11,1227595.2770323616
2023-07-12,1224115.7448000968
2023-07-13,1225975.4586350578
2023-07-14,1235495.2989744686
2023-07-17,1244775.1205366652
2023-07-18,1247162.2343158028
2023-07-19,1252460.5316502254
2023-07-20,1261680.4101878966
2023-07-21,1246893.8474405624
2023-07-24,1242305.9859523645
2023-07-25,1242826.9722395958
2023-07-26,1248996.78688121
2023-07-27,1241519.8196183653
2023-07-28,1240645.2188222576
2023-07-31,1247449.6154827652
2023-08-01,1246170.8309595608
2023-08-02,1233098.8113890267
2023-08-03,1223948.3730217414
2023-08-04,1232495.6809570754
2023-08-07,1237566.6634886174
2023-08-08,1235896.275873093
2023-08-09,1239792.695806788
2023-08-10,1234143.8674524054
2023-08-11,1226894.3383319976
2023-08-14,1227289.0249132337
2023-08-16,1229211.8886011925
2023-08-17,1222912.690764667
2023-08-18,1219433.1585324022
2023-08-21,1224702.9644292418
2023-08-22,1224882.916842374
2023-08-23,1227885.7416882399
2023-08-24,1224267.205775646
2023-08-25,1216632.4872198636
2023-08-28,1219174.268803023
2023-08-29,1221485.5287548292
2023-08-30,1221788.5740454844
2023-08-31,1215874.6889838905
2023-09-01,1227336.387302982
2023-09-04,1233240.8985582714
2023-09-05,1236152.0821135566
2023-09-06,1238434.9739673364
2023-09-07,1245760.3569150756
2023-09-08,1251626.879586921
2023-09-11,1262766.5383236352
2023-09-12,1262567.591618781
2023-09-13,1267417.5496648308
2023-09-14,1269507.785131145
2023-09-15,1275143.9095111943
2023-09-18,1271414.984695411
2023-09-20,1256770.5091173216
2023-09-21,1246726.475662207
2023-09-22,1242425.9953409715
2023-09-25,1242444.9896326934
2023-09-26,1241822.8649090205
2023-09-27,1245090.8698016538
2023-09-28,1232909.3618300334
2023-09-29,1240155.807461525
2023-10-03,1233237.691729799
2023-10-04,1227386.8331816462
2023-10-05,1234311.2392307606
2023-10-06,1241115.6358912683
2023-10-09,1232202.0094727245
2023-10-10,1243411.1083798253
2023-10-11,1251083.8155190516
2023-10-12,1249988.190237452
2023-10-13,1247275.9533870216
2023-10-16,1246057.111888342
2023-10-17,1251093.3126649125
2023-10-18,1242227.0486361173
2023-10-19,1239296.8707891104
2023-10-20,1234115.499354379
2023-10-23,1217639.6780393547
2023-10-25,1207560.9861688255
2023-10-26,1190832.5654418103
2023-10-27,1202831.0375113827
2023-10-30,1208745.0459125333
2023-10-31,1204873.9105879485
2023-11-01,1199162.0557201249
2023-11-02,1208261.924869189
2023-11-03,1214409.5383906085
2023-11-06,1225849.1589290623
2023-11-07,1225530.202835601
2023-11-08,1227854.1667617408
2023-11-09,1224810.393183072
2023-11-10,1226707.9722619203
2023-11-13,1227857.3735902135
2023-11-15,1242501.7258287463
2023-11-16,1248169.4251352942
2023-11-17,1246060.3187168147
2023-11-20,1243673.2049376771
2023-11-21,1249318.8264635873
2023-11-22,1251115.3904455504
2023-11-23,1250493.389061434
2023-11-24,1250032.3457987278
2023-11-28,1256031.581833514
2023-11-29,1269097.3110866598
2023-11-30,1271405.4875495501
2023-12-01,1279914.9302409969
2023-12-04,1306368.4283296654
2023-12-05,1316996.4745854526
2023-12-06,1322212.6277751555
2023-12-07,1319904.5746518217
2023-12-08,1324214.5521189182
2023-12-11,1325963.753711133
2023-12-12,1320236.1113800597
2023-12-13,1321495.901611542
2023-12-14,1337684.341759604
2023-12-15,1354984.3179920716
2023-12-18,1352584.6235781568
2023-12-19,1354760.0866781068
2023-12-20,1335628.8880482612
2023-12-21,1342253.3322956364
2023-12-22,1348211.496258063
2023-12-26,1354018.0759053833
2023-12-27,1367494.2792030142
2023-12-28,1375321.6541462627
2023-12-29,1372334.740103203
2024-01-01,1372997.8135596793
2024-01-02,1368192.1344144621
2024-01-03,1358817.464733212
2024-01-04,1367737.3814691443
2024-01-05,1371033.8777993608
2024-01-08,1358542.7875405834
2024-01-09,1360554.0856906504
2024-01-10,1365217.6776666227
2024-01-11,1367017.4484770584
2024-01-12,1382637.6632876974
2024-01-15,1395450.6697892952
2024-01-16,1391336.5555381372
2024-01-17,1362265.422038978
2024-01-18,1355337.9325009475
2024-01-19,1365451.4061264484
2024-01-23,1341227.147184423
2024-01-24,1354813.7393852435
2024-01-25,1348413.5264518328
2024-01-29,1372726.2198559665
2024-01-30,1359117.4265349514
2024-01-31,1371974.711937382
2024-02-01,1370190.7285901955
2024-02-02,1380064.3067780389
2024-02-05,1374879.6051752786
2024-02-06,1384838.4109967574
2024-02-07,1384907.8511671438
2024-02-08,1371485.3005766494
2024-02-09,1375561.6729234767
2024-02-12,1365050.429227824
2024-02-13,1373083.041193315
2024-02-14,1379195.99629932
2024-02-15,1383660.6415704382
2024-02-16,1391866.915631673
2024-02-19,1397016.835479462
2024-02-20,1401734.0801625713
2024-02-21,1392773.2146938362
2024-02-22,1403028.6521490251
2024-02-23,1402728.690347286
2024-02-26,1397004.2548446853
2024-02-27,1401822.5146246795
2024-02-28,1386211.9202994586
2024-02-29,1388210.6378147488
2024-03-01,1410688.778653475
2024-03-04,1414910.321658463
2024-03-05,1411797.107909408
2024-03-06,1419233.003099893
2024-03-07,1420464.4252333492
2024-03-11,1410303.5892181
2024-03-12,1410496.122266009
2024-03-13,1389151.4719527697
2024-03-14,1398557.7165605186
2024-03-15,1390771.2903500733
2024-03-18,1392814.1634266393
2024-03-19,1377768.7109499255
2024-03-20,1379135.929935238
2024-03-21,1390051.357357988
2024-03-22,1395406.5142280194
2024-03-26,1389593.520923754
2024-03-27,1397105.2699415702
2024-03-28,1409940.4775633628
2024-04-01,1418471.9980354474
2024-04-02,1417922.6436501897
