date,total_value
2024-04-30,1724890.5533490812
2024-05-02,1733271.672354646
2024-05-03,1724037.9446502095
2024-05-06,1718139.1946600478
2024-05-07,1706905.5757359494
2024-05-08,1708811.7799005248
2024-05-09,1679493.5874019444
2024-05-10,1692769.4225424805
2024-05-13,1698356.9022627024
2024-05-14,1710976.511454112
2024-05-15,1712851.467710289
2024-05-16,1728666.7311386452
2024-05-17,1734259.8316221617
2024-05-21,1750181.7802666603
2024-05-22,1756028.1940047494
2024-05-23,1780993.2222691097
2024-05-24,1778002.0511992292
2024-05-27,1772318.353623961
2024-05-28,1770449.21648141
2024-05-29,1761701.4301787182
2024-05-30,1735344.9409378264
2024-05-31,1739031.0488617467
2024-06-03,1790798.3601124745
2024-06-04,1687328.0589978904
2024-06-05,1748614.6644801048
2024-06-06,1764479.4997176728
2024-06-07,1800549.6060774392
2024-06-10,1802933.7298502729
2024-06-11,1806835.8053501607
2024-06-12,1814783.408938534
2024-06-13,1825377.4394779683
2024-06-14,1834420.380714855
2024-06-18,1843198.7816227365
2024-06-19,1828396.0937458274
2024-06-20,1830162.449064295
2024-06-21,1824143.2780725143
2024-06-24,1828945.6049782988
2024-06-25,1832786.3297591372
2024-06-26,1835090.9037507323
2024-06-27,1851181.1086674712
2024-06-28,1853530.5259609448
2024-07-01,1861781.7039501646
2024-07-02,1857347.7967520927
2024-07-03,1870768.0761226157
2024-07-04,1871465.0527781104
2024-07-05,1882741.4410406789
2024-07-08,1880884.136860619
2024-07-09,1891063.5085250442
2024-07-10,1887622.8094198909
2024-07-11,1888221.0094796543
2024-07-12,1902128.1975478292
2024-07-15,1912424.9427565662
2024-07-16,1916324.30534893
2024-07-18,1925091.9944117244
2024-07-19,1894529.670274792
2024-07-22,1896077.5652344862
2024-07-23,1897956.9615183691
2024-07-24,1894179.2344141444
2024-07-25,1895038.265669842
2024-07-26,1935887.973788239
2024-07-29,1938006.652303265
2024-07-30,1939692.8045332418
2024-07-31,1952115.6948420603
2024-08-01,1958167.0640436243
2024-08-02,1929556.1904967788
2024-08-05,1882755.7055954721
2024-08-06,1876486.8192367489
2024-08-07,1907166.9911139244
2024-08-08,1887712.08278314
2024-08-09,1912435.7748480318
2024-08-12,1909343.6550991705
2024-08-13,1895629.0028125325
2024-08-14,1890054.2025360116
2024-08-16,1923231.069923856
2024-08-19,1931963.0211986087
2024-08-20,1947122.018356932
2024-08-21,1957978.3960762604
2024-08-22,1961607.8511998896
2024-08-23,1962212.085437649
2024-08-26,1975925.2026329332
2024-08-27,1974641.239245127
2024-08-28,1980586.0874719827
2024-08-29,1985708.8279713085
2024-08-30,1995752.4651892106
2024-09-02,2001400.7416161497
2024-09-03,2000706.1854830165
2024-09-04,1995011.31149732
2024-09-05,1990111.4526933099
